"date","home_team","away_team","home_pts","away_pts","home_wins","away_wins"
2023-10-28,"Boston Celtics","Los Angeles Lakers",127,111,1,0
2023-10-28,"Boston Celtics","Utah Jazz",122,109,1,0
2023-10-28,"Boston Celtics","Cleveland Cavaliers",98,92,1,0
2023-10-28,"Boston Celtics","Chicago Bulls",124,104,1,0
2023-10-28,"Boston Celtics","Brooklyn Nets",115,112,1,0
2023-10-29,"Boston Celtics","Portland Trail Blazers",111,105,1,0
2023-10-29,"Boston Celtics","New Orleans Pelicans",110,111,0,1
2023-10-29,"Boston Celtics","Charlotte Hornets",101,114,0,1
2023-10-29,"Boston Celtics","Portland Trail Blazers",125,108,1,0
2023-10-29,"Boston Celtics","Phoenix Suns",119,115,1,0
2023-10-29,"Boston Celtics","Minnesota Timberwolves",111,107,1,0
2023-10-29,"Boston Celtics","Orlando Magic",104,106,0,1
2023-10-29,"Boston Celtics","San Antonio Spurs",109,107,1,0
2023-10-30,"Boston Celtics","New Orleans Pelicans",113,117,0,1
2023-10-30,"Boston Celtics","Dallas Mavericks",108,119,0,1
2023-10-31,"Boston Celtics","Dallas Mavericks",163,136,1,0
2023-10-31,"Boston Celtics","Brooklyn Nets",113,99,1,0
2023-10-31,"Boston Celtics","Oklahoma City Thunder",92,102,0,1
2023-10-31,"Boston Celtics","Charlotte Hornets",128,117,1,0
2023-10-31,"Boston Celtics","Philadelphia 76ers",147,128,1,0
2023-10-31,"Boston Celtics","Orlando Magic",125,123,1,0
2023-10-31,"Boston Celtics","Brooklyn Nets",85,105,0,1
2023-10-31,"Boston Celtics","Phoenix Suns",110,103,1,0
2023-10-31,"Boston Celtics","Dallas Mavericks",145,129,1,0
2023-11-01,"Boston Celtics","San Antonio Spurs",120,127,0,1
2023-11-01,"Boston Celtics","Houston Rockets",120,112,1,0
2023-11-01,"Boston Celtics","Detroit Pistons",118,129,0,1
2023-11-01,"Boston Celtics","Cleveland Cavaliers",120,110,1,0
2023-11-01,"Boston Celtics","Atlanta Hawks",124,101,1,0
2023-11-01,"Boston Celtics","Minnesota Timberwolves",95,109,0,1
2023-11-01,"Boston Celtics","Denver Nuggets",103,111,0,1
2023-11-01,"Boston Celtics","Chicago Bulls",82,93,0,1
2023-11-01,"Boston Celtics","Los Angeles Lakers",119,108,1,0
2023-11-01,"Boston Celtics","Houston Rockets",102,105,0,1
2023-11-02,"Boston Celtics","Golden State Warriors",119,115,1,0
2023-11-02,"Boston Celtics","Washington Wizards",97,104,0,1
2023-11-02,"Brooklyn Nets","LA Clippers",136,115,1,0
2023-11-02,"Brooklyn Nets","Oklahoma City Thunder",130,116,1,0
2023-11-02,"Brooklyn Nets","Golden State Warriors",110,107,1,0
2023-11-02,"Brooklyn Nets","Indiana Pacers",102,110,0,1
2023-11-02,"Brooklyn Nets","Charlotte Hornets",147,136,1,0
2023-11-03,"Brooklyn Nets","Washington Wizards",132,127,1,0
2023-11-03,"Brooklyn Nets","Milwaukee Bucks",137,127,1,0
2023-11-03,"Brooklyn Nets","Cleveland Cavaliers",106,111,0,1
2023-11-03,"Brooklyn Nets","Utah Jazz",95,101,0,1
2023-11-03,"Brooklyn Nets","Portland Trail Blazers",117,116,1,0
2023-11-03,"Brooklyn Nets","Memphis Grizzlies",117,111,1,0
2023-11-03,"Brooklyn Nets","Cleveland Cavaliers",154,149,1,0
2023-11-03,"Brooklyn Nets","Utah Jazz",93,89,1,0
2023-11-04,"Brooklyn Nets","Philadelphia 76ers",111,108,1,0
2023-11-04,"Brooklyn Nets","Boston Celtics",119,126,0,1
2023-11-04,"Brooklyn Nets","New Orleans Pelicans",98,87,1,0
2023-11-04,"Brooklyn Nets","Portland Trail Blazers",103,107,0,1
2023-11-05,"Brooklyn Nets","Minnesota Timberwolves",104,114,0,1
2023-11-05,"Brooklyn Nets","New Orleans Pelicans",105,108,0,1
2023-11-05,"Brooklyn Nets","Cleveland Cavaliers",94,100,0,1
2023-11-05,"Brooklyn Nets","Memphis Grizzlies",111,109,1,0
2023-11-05,"Brooklyn Nets","Detroit Pistons",107,125,0,1
2023-11-05,"Brooklyn Nets","Phoenix Suns",85,95,0,1
2023-11-06,"Brooklyn Nets","Detroit Pistons",129,126,1,0
2023-11-07,"Brooklyn Nets","Orlando Magic",134,120,1,0
2023-11-07,"Brooklyn Nets","Chicago Bulls",89,96,0,1
2023-11-07,"Brooklyn Nets","Sacramento Kings",79,93,0,1
2023-11-07,"Brooklyn Nets","Chicago Bulls",126,110,1,0
2023-11-07,"Brooklyn Nets","Denver Nuggets",107,113,0,1
2023-11-07,"Brooklyn Nets","Houston Rockets",131,123,1,0
2023-11-08,"Brooklyn Nets","New Orleans Pelicans",91,110,0,1
2023-11-08,"Brooklyn Nets","Toronto Raptors",128,115,1,0
2023-11-08,"Brooklyn Nets","Los Angeles Lakers",135,124,1,0
2023-11-08,"Brooklyn Nets","Orlando Magic",126,123,1,0
2023-11-09,"Brooklyn Nets","Philadelphia 76ers",122,119,1,0
2023-11-09,"Brooklyn Nets","New York Knicks",123,114,1,0
2023-11-09,"Brooklyn Nets","Milwaukee Bucks",117,114,1,0
2023-11-09,"Brooklyn Nets","Philadelphia 76ers",93,123,0,1
2023-11-09,"Brooklyn Nets","Utah Jazz",123,122,1,0
2023-11-09,"Brooklyn Nets","Washington Wizards",123,109,1,0
2023-11-09,"Brooklyn Nets","Minnesota Timberwolves",123,114,1,0
2023-11-09,"Charlotte Hornets","LA Clippers",145,129,1,0
2023-11-10,"Charlotte Hornets","Golden State Warriors",122,126,0,1
2023-11-10,"Charlotte Hornets","Sacramento Kings",121,99,1,0
2023-11-10,"Charlotte Hornets","Orlando Magic",131,126,1,0
2023-11-10,"Charlotte Hornets","Indiana Pacers",91,109,0,1
2023-11-10,"Charlotte Hornets","Sacramento Kings",96,93,1,0
2023-11-11,"Charlotte Hornets","San Antonio Spurs",130,124,1,0
2023-11-11,"Charlotte Hornets","Milwaukee Bucks",119,111,1,0
2023-11-11,"Charlotte Hornets","Detroit Pistons",133,121,1,0
2023-11-11,"Charlotte Hornets","Washington Wizards",144,131,1,0
2023-11-11,"Charlotte Hornets","Phoenix Suns",94,122,0,1
2023-11-11,"Charlotte Hornets","Dallas Mavericks",85,106,0,1
2023-11-11,"Charlotte Hornets","Atlanta Hawks",114,109,1,0
2023-11-11,"Charlotte Hornets","Los Angeles Lakers",97,99,0,1
2023-11-11,"Charlotte Hornets","Memphis Grizzlies",105,101,1,0
2023-11-11,"Charlotte Hornets","Cleveland Cavaliers",133,115,1,0
2023-11-12,"Charlotte Hornets","Golden State Warriors",118,107,1,0
2023-11-12,"Charlotte Hornets","Phoenix Suns",109,117,0,1
2023-11-12,"Charlotte Hornets","Milwaukee Bucks",128,119,1,0
2023-11-12,"Charlotte Hornets","San Antonio Spurs",118,114,1,0
2023-11-12,"Charlotte Hornets","Indiana Pacers",98,106,0,1
2023-11-13,"Charlotte Hornets","Houston Rockets",78,94,0,1
2023-11-13,"Charlotte Hornets","Houston Rockets",113,111,1,0
2023-11-13,"Charlotte Hornets","Portland Trail Blazers",82,99,0,1
2023-11-13,"Charlotte Hornets","Atlanta Hawks",110,117,0,1
2023-11-13,"Charlotte Hornets","Toronto Raptors",115,119,0,1
2023-11-13,"Charlotte Hornets","Sacramento Kings",125,113,1,0
2023-11-13,"Charlotte Hornets","Washington Wizards",108,99,1,0
2023-11-14,"Charlotte Hornets","Sacramento Kings",105,102,1,0
2023-11-14,"Charlotte Hornets","New York Knicks",102,105,0,1
2023-11-14,"Charlotte Hornets","Minnesota Timberwolves",107,112,0,1
2023-11-14,"Charlotte Hornets","Memphis Grizzlies",142,136,1,0
2023-11-14,"Charlotte Hornets","Memphis Grizzlies",86,100,0,1
2023-11-14,"Charlotte Hornets","Miami Heat",82,86,0,1
2023-11-14,"Charlotte Hornets","Dallas Mavericks",121,109,1,0
2023-11-15,"Charlotte Hornets","Portland Trail Blazers",93,101,0,1
2023-11-15,"Charlotte Hornets","Miami Heat",101,86,1,0
2023-11-15,"Charlotte Hornets","Indiana Pacers",101,100,1,0
2023-11-16,"Charlotte Hornets","Cleveland Cavaliers",110,106,1,0
2023-11-16,"Charlotte Hornets","Milwaukee Bucks",114,98,1,0
2023-11-16,"Charlotte Hornets","Minnesota Timberwolves",127,118,1,0
2023-11-16,"Chicago Bulls","Philadelphia 76ers",126,120,1,0
2023-11-16,"Chicago Bulls","Minnesota Timberwolves",118,106,1,0
2023-11-16,"Chicago Bulls","New Orleans Pelicans",97,94,1,0
2023-11-16,"Chicago Bulls","Boston Celtics",121,117,1,0
2023-11-16,"Chicago Bulls","Dallas Mavericks",106,101,1,0
2023-11-17,"Chicago Bulls","Philadelphia 76ers",88,101,0,1
2023-11-17,"Chicago Bulls","Dallas Mavericks",121,112,1,0
2023-11-17,"Chicago Bulls","Dallas Mavericks",100,99,1,0
2023-11-17,"Chicago Bulls","Oklahoma City Thunder",94,107,0,1
2023-11-17,"Chicago Bulls","Utah Jazz",104,102,1,0
2023-11-17,"Chicago Bulls","Miami Heat",122,114,1,0
2023-11-18,"Chicago Bulls","Boston Celtics",89,101,0,1
2023-11-18,"Chicago Bulls","Houston Rockets",94,101,0,1
2023-11-18,"Chicago Bulls","Phoenix Suns",114,99,1,0
2023-11-18,"Chicago Bulls","Utah Jazz",108,110,0,1
2023-11-19,"Chicago Bulls","LA Clippers",134,123,1,0
2023-11-19,"Chicago Bulls","San Antonio Spurs",105,100,1,0
2023-11-19,"Chicago Bulls","Golden State Warriors",101,112,0,1
2023-11-19,"Chicago Bulls","Atlanta Hawks",119,103,1,0
2023-11-19,"Chicago Bulls","Boston Celtics",101,98,1,0
2023-11-19,"Chicago Bulls","Portland Trail Blazers",140,122,1,0
2023-11-19,"Chicago Bulls","Portland Trail Blazers",87,104,0,1
2023-11-20,"Chicago Bulls","Boston Celtics",120,128,0,1
2023-11-20,"Chicago Bulls","Sacramento Kings",94,102,0,1
2023-11-20,"Chicago Bulls","Utah Jazz",123,117,1,0
2023-11-20,"Chicago Bulls","Indiana Pacers",103,122,0,1
2023-11-20,"Chicago Bulls","Washington Wizards",141,134,1,0
2023-11-20,"Chicago Bulls","Memphis Grizzlies",121,101,1,0
2023-11-20,"Chicago Bulls","Boston Celtics",113,111,1,0
2023-11-21,"Chicago Bulls","Utah Jazz",115,120,0,1
2023-11-21,"Chicago Bulls","Boston Celtics",106,104,1,0
2023-11-21,"Chicago Bulls","Toronto Raptors",125,117,1,0
2023-11-21,"Chicago Bulls","Houston Rockets",112,105,1,0
2023-11-21,"Chicago Bulls","Sacramento Kings",106,98,1,0
2023-11-21,"Chicago Bulls","Utah Jazz",90,85,1,0
2023-11-21,"Chicago Bulls","Philadelphia 76ers",127,116,1,0
2023-11-21,"Chicago Bulls","Cleveland Cavaliers",117,106,1,0
2023-11-22,"Chicago Bulls","Houston Rockets",120,129,0,1
2023-11-22,"Chicago Bulls","Minnesota Timberwolves",85,98,0,1
2023-11-22,"Chicago Bulls","Minnesota Timberwolves",119,105,1,0
2023-11-22,"Chicago Bulls","Cleveland Cavaliers",128,119,1,0
2023-11-23,"Cleveland Cavaliers","Brooklyn Nets",101,107,0,1
2023-11-23,"Cleveland Cavaliers","Memphis Grizzlies",113,115,0,1
2023-11-23,"Cleveland Cavaliers","Memphis Grizzlies",117,125,0,1
2023-11-23,"Cleveland Cavaliers","Utah Jazz",125,134,0,1
2023-11-23,"Cleveland Cavaliers","San Antonio Spurs",108,111,0,1
2023-11-23,"Cleveland Cavaliers","Atlanta Hawks",102,101,1,0
2023-11-24,"Cleveland Cavaliers","Chicago Bulls",109,98,1,0
2023-11-24,"Cleveland Cavaliers","Brooklyn Nets",110,104,1,0
2023-11-24,"Cleveland Cavaliers","Philadelphia 76ers",127,105,1,0
2023-11-24,"Cleveland Cavaliers","San Antonio Spurs",112,97,1,0
2023-11-24,"Cleveland Cavaliers","Los Angeles Lakers",129,117,1,0
2023-11-24,"Cleveland Cavaliers","Indiana Pacers",129,126,1,0
2023-11-24,"Cleveland Cavaliers","Oklahoma City Thunder",110,105,1,0
2023-11-24,"Cleveland Cavaliers","San Antonio Spurs",103,99,1,0
2023-11-24,"Cleveland Cavaliers","Minnesota Timberwolves",101,96,1,0
2023-11-24,"Cleveland Cavaliers","Toronto Raptors",121,118,1,0
2023-11-24,"Cleveland Cavaliers","Toronto Raptors",113,110,1,0
2023-11-24,"Cleveland Cavaliers","Oklahoma City Thunder",91,89,1,0
2023-11-24,"Cleveland Cavaliers","Charlotte Hornets",93,109,0,1
2023-11-25,"Cleveland Cavaliers","Oklahoma City Thunder",106,110,0,1
2023-11-25,"Cleveland Cavaliers","Indiana Pacers",110,101,1,0
2023-11-25,"Cleveland Cavaliers","Minnesota Timberwolves",108,97,1,0
2023-11-25,"Cleveland Cavaliers","Golden State Warriors",99,105,0,1
2023-11-25,"Cleveland Cavaliers","Minnesota Timberwolves",112,102,1,0
2023-11-25,"Cleveland Cavaliers","Los Angeles Lakers",113,103,1,0
2023-11-25,"Cleveland Cavaliers","Utah Jazz",88,85,1,0
2023-11-26,"Cleveland Cavaliers","Minnesota Timberwolves",110,108,1,0
2023-11-26,"Cleveland Cavaliers","Washington Wizards",121,120,1,0
2023-11-26,"Cleveland Cavaliers","Oklahoma City Thunder",132,123,1,0
2023-11-26,"Cleveland Cavaliers","Atlanta Hawks",111,133,0,1
2023-11-26,"Cleveland Cavaliers","Minnesota Timberwolves",105,113,0,1
2023-11-26,"Cleveland Cavaliers","Atlanta Hawks",106,98,1,0
2023-11-26,"Cleveland Cavaliers","Utah Jazz",113,116,0,1
2023-11-26,"Cleveland Cavaliers","Boston Celtics",120,122,0,1
2023-11-27,"Cleveland Cavaliers","Detroit Pistons",124,131,0,1
2023-11-27,"Cleveland Cavaliers","Milwaukee Bucks",124,119,1,0
2023-11-27,"Cleveland Cavaliers","Brooklyn Nets",118,126,0,1
2023-11-27,"Cleveland Cavaliers","Chicago Bulls",110,115,0,1
2023-11-27,"Cleveland Cavaliers","Los Angeles Lakers",84,96,0,1
2023-11-28,"Cleveland Cavaliers","LA Clippers",87,101,0,1
2023-11-28,"Cleveland Cavaliers","Atlanta Hawks",148,131,1,0
2023-11-28,"Dallas Mavericks","New York Knicks",116,118,0,1
2023-11-28,"Dallas Mavericks","Utah Jazz",106,103,1,0
2023-11-28,"Dallas Mavericks","Chicago Bulls",104,102,1,0
2023-11-28,"Dallas Mavericks","Miami Heat",109,100,1,0
2023-11-29,"Dallas Mavericks","Portland Trail Blazers",117,112,1,0
2023-11-29,"Dallas Mavericks","Cleveland Cavaliers",122,107,1,0
2023-11-29,"Dallas Mavericks","Phoenix Suns",80,100,0,1
2023-11-29,"Dallas Mavericks","Milwaukee Bucks",112,123,0,1
2023-11-29,"Dallas Mavericks","Houston Rockets",106,110,0,1
2023-11-29,"Dallas Mavericks","Denver Nuggets",124,118,1,0
2023-11-29,"Dallas Mavericks","Golden State Warriors",108,106,1,0
2023-11-29,"Dallas Mavericks","Golden State Warriors",108,112,0,1
2023-11-29,"Dallas Mavericks","Sacramento Kings",115,121,0,1
2023-11-30,"Dallas Mavericks","Brooklyn Nets",113,117,0,1
2023-11-30,"Dallas Mavericks","New Orleans Pelicans",136,120,1,0
2023-11-30,"Dallas Mavericks","Orlando Magic",101,90,1,0
2023-11-30,"Dallas Mavericks","Miami Heat",117,112,1,0
2023-11-30,"Dallas Mavericks","Utah Jazz",104,108,0,1
2023-11-30,"Dallas Mavericks","Utah Jazz",99,103,0,1
2023-12-01,"Dallas Mavericks","Miami Heat",102,104,0,1
2023-12-01,"Dallas Mavericks","Washington Wizards",124,128,0,1
2023-12-01,"Dallas Mavericks","Sacramento Kings",113,115,0,1
2023-12-01,"Dallas Mavericks","Oklahoma City Thunder",105,108,0,1
2023-12-01,"Dallas Mavericks","Sacramento Kings",122,120,1,0
2023-12-01,"Dallas Mavericks","Milwaukee Bucks",95,104,0,1
2023-12-01,"Dallas Mavericks","Philadelphia 76ers",119,112,1,0
2023-12-01,"Dallas Mavericks","Portland Trail Blazers",127,126,1,0
2023-12-01,"Dallas Mavericks","Atlanta Hawks",93,106,0,1
2023-12-01,"Dallas Mavericks","Washington Wizards",98,101,0,1
2023-12-01,"Dallas Mavericks","Cleveland Cavaliers",110,104,1,0
2023-12-02,"Dallas Mavericks","Indiana Pacers",101,98,1,0
2023-12-02,"Dallas Mavericks","Golden State Warriors",120,113,1,0
2023-12-02,"Dallas Mavericks","Philadelphia 76ers",122,114,1,0
2023-12-02,"Dallas Mavericks","San Antonio Spurs",101,119,0,1
2023-12-02,"Dallas Mavericks","Philadelphia 76ers",140,130,1,0
2023-12-02,"Dallas Mavericks","Philadelphia 76ers",132,125,1,0
2023-12-02,"Dallas Mavericks","Oklahoma City Thunder",108,96,1,0
2023-12-02,"Dallas Mavericks","Phoenix Suns",117,132,0,1
2023-12-03,"Dallas Mavericks","Philadelphia 76ers",124,112,1,0
2023-12-03,"Dallas Mavericks","San Antonio Spurs",119,106,1,0
2023-12-03,"Dallas Mavericks","Los Angeles Lakers",124,130,0,1
2023-12-03,"Denver Nuggets","Chicago Bulls",102,115,0,1
2023-12-03,"Denver Nuggets","Indiana Pacers",132,129,1,0
2023-12-03,"Denver Nuggets","Miami Heat",111,110,1,0
2023-12-03,"Denver Nuggets","Orlando Magic",107,102,1,0
2023-12-03,"Denver Nuggets","Boston Celtics",83,88,0,1
2023-12-04,"Denver Nuggets","Sacramento Kings",123,122,1,0
2023-12-04,"Denver Nuggets","Cleveland Cavaliers",104,100,1,0
2023-12-04,"Denver Nuggets","Atlanta Hawks",130,120,1,0
2023-12-04,"Denver Nuggets","Memphis Grizzlies",104,111,0,1
2023-12-04,"Denver Nuggets","Milwaukee Bucks",128,115,1,0
2023-12-04,"Denver Nuggets","Minnesota Timberwolves",96,124,0,1
2023-12-04,"Denver Nuggets","Indiana Pacers",115,105,1,0
2023-12-04,"Denver Nuggets","Utah Jazz",94,105,0,1
2023-12-04,"Denver Nuggets","New Orleans Pelicans",94,107,0,1
2023-12-04,"Denver Nuggets","Phoenix Suns",117,122,0,1
2023-12-04,"Denver Nuggets","Boston Celtics",114,105,1,0
2023-12-04,"Denver Nuggets","San Antonio Spurs",111,108,1,0
2023-12-05,"Denver Nuggets","Houston Rockets",126,119,1,0
2023-12-05,"Denver Nuggets","Charlotte Hornets",113,119,0,1
2023-12-05,"Denver Nuggets","Oklahoma City Thunder",123,119,1,0
2023-12-05,"Denver Nuggets","Miami Heat",106,111,0,1
2023-12-05,"Denver Nuggets","Washington Wizards",113,118,0,1
2023-12-05,"Denver Nuggets","Dallas Mavericks",116,113,1,0
2023-12-06,"Denver Nuggets","Minnesota Timberwolves",97,103,0,1
2023-12-06,"Denver Nuggets","Toronto Raptors",131,130,1,0
2023-12-06,"Denver Nuggets","Chicago Bulls",77,90,0,1
2023-12-06,"Denver Nuggets","Philadelphia 76ers",115,119,0,1
2023-12-06,"Denver Nuggets","Oklahoma City Thunder",118,114,1,0
2023-12-06,"Denver Nuggets","New Orleans Pelicans",118,110,1,0
2023-12-06,"Denver Nuggets","San Antonio Spurs",91,103,0,1
2023-12-06,"Denver Nuggets","Golden State Warriors",89,107,0,1
2023-12-06,"Denver Nuggets","Indiana Pacers",125,130,0,1
2023-12-06,"Denver Nuggets","Utah Jazz",116,109,1,0
2023-12-07,"Denver Nuggets","Cleveland Cavaliers",113,106,1,0
2023-12-07,"Denver Nuggets","Houston Rockets",118,100,1,0
2023-12-07,"Denver Nuggets","Golden State Warriors",94,105,0,1
2023-12-07,"Denver Nuggets","Phoenix Suns",107,109,0,1
2023-12-07,"Denver Nuggets","San Antonio Spurs",103,95,1,0
2023-12-07,"Denver Nuggets","New York Knicks",126,123,1,0
2023-12-07,"Denver Nuggets","Golden State Warriors",123,111,1,0
2023-12-08,"Denver Nuggets","Indiana Pacers",118,126,0,1
2023-12-08,"Detroit Pistons","New York Knicks",130,121,1,0
2023-12-08,"Detroit Pistons","Utah Jazz",143,126,1,0
2023-12-09,"Detroit Pistons","Orlando Magic",91,95,0,1
2023-12-09,"Detroit Pistons","Charlotte Hornets",110,116,0,1
2023-12-09,"Detroit Pistons","Houston Rockets",112,106,1,0
2023-12-09,"Detroit Pistons","Philadelphia 76ers",98,109,0,1
2023-12-09,"Detroit Pistons","Sacramento Kings",96,103,0,1
2023-12-09,"Detroit Pistons","Philadelphia 76ers",105,112,0,1
2023-12-09,"Detroit Pistons","Toronto Raptors",102,111,0,1
2023-12-09,"Detroit Pistons","Minnesota Timberwolves",83,87,0,1
2023-12-10,"Detroit Pistons","Toronto Raptors",124,119,1,0
2023-12-10,"Detroit Pistons","Orlando Magic",110,112,0,1
2023-12-10,"Detroit Pistons","LA Clippers",101,99,1,0
2023-12-10,"Detroit Pistons","Orlando Magic",96,98,0,1
2023-12-10,"Detroit Pistons","Cleveland Cavaliers",105,102,1,0
2023-12-10,"Detroit Pistons","Miami Heat",88,93,0,1
2023-12-10,"Detroit Pistons","Golden State Warriors",122,112,1,0
2023-12-10,"Detroit Pistons","Houston Rockets",122,127,0,1
2023-12-10,"Detroit Pistons","Portland Trail Blazers",98,112,0,1
2023-12-11,"Detroit Pistons","New Orleans Pelicans",125,116,1,0
2023-12-11,"Detroit Pistons","Phoenix Suns",113,94,1,0
2023-12-11,"Detroit Pistons","Dallas Mavericks",101,93,1,0
2023-12-11,"Detroit Pistons","Memphis Grizzlies",104,100,1,0
2023-12-11,"Detroit Pistons","LA Clippers",98,118,0,1
2023-12-11,"Detroit Pistons","Orlando Magic",95,100,0,1
2023-12-11,"Detroit Pistons","New York Knicks",120,116,1,0
2023-12-11,"Detroit Pistons","Houston Rockets",122,108,1,0
2023-12-11,"Detroit Pistons","Sacramento Kings",118,114,1,0
2023-12-11,"Detroit Pistons","Sacramento Kings",82,99,0,1
2023-12-12,"Detroit Pistons","Chicago Bulls",97,100,0,1
2023-12-12,"Detroit Pistons","Boston Celtics",118,109,1,0
2023-12-12,"Detroit Pistons","Brooklyn Nets",92,108,0,1
2023-12-12,"Detroit Pistons","Boston Celtics",81,90,0,1
2023-12-12,"Detroit Pistons","Toronto Raptors",110,116,0,1
2023-12-12,"Detroit Pistons","Memphis Grizzlies",94,89,1,0
2023-12-13,"Detroit Pistons","Toronto Raptors",91,105,0,1
2023-12-13,"Detroit Pistons","Milwaukee Bucks",107,111,0,1
2023-12-13,"Detroit Pistons","Charlotte Hornets",118,102,1,0
2023-12-13,"Detroit Pistons","Portland Trail Blazers",104,95,1,0
2023-12-13,"Detroit Pistons","Orlando Magic",99,106,0,1
2023-12-13,"Detroit Pistons","Portland Trail Blazers",107,109,0,1
2023-12-13,"Golden State Warriors","Cleveland Cavaliers",91,100,0,1
2023-12-14,"Golden State Warriors","Oklahoma City Thunder",82,95,0,1
2023-12-14,"Golden State Warriors","Orlando Magic",102,97,1,0
2023-12-14,"Golden State Warriors","Oklahoma City Thunder",113,104,1,0
2023-12-15,"Golden State Warriors","Indiana Pacers",99,105,0,1
2023-12-15,"Golden State Warriors","San Antonio Spurs",134,126,1,0
2023-12-15,"Golden State Warriors","Atlanta Hawks",120,96,1,0
2023-12-15,"Golden State Warriors","Toronto Raptors",123,114,1,0
2023-12-15,"Golden State Warriors","Memphis Grizzlies",90,105,0,1
2023-12-16,"Golden State Warriors","Utah Jazz",112,111,1,0
2023-12-16,"Golden State Warriors","Atlanta Hawks",119,103,1,0
2023-12-16,"Golden State Warriors","Washington Wizards",118,119,0,1
2023-12-16,"Golden State Warriors","Charlotte Hornets",90,91,0,1
2023-12-16,"Golden State Warriors","Los Angeles Lakers",120,112,1,0
2023-12-16,"Golden State Warriors","Cleveland Cavaliers",117,110,1,0
2023-12-16,"Golden State Warriors","Philadelphia 76ers",121,122,0,1
2023-12-16,"Golden State Warriors","LA Clippers",117,108,1,0
2023-12-16,"Golden State Warriors","Washington Wizards",124,115,1,0
2023-12-16,"Golden State Warriors","Dallas Mavericks",107,114,0,1
2023-12-16,"Golden State Warriors","LA Clippers",121,103,1,0
2023-12-16,"Golden State Warriors","Chicago Bulls",128,109,1,0
2023-12-16,"Golden State Warriors","New Orleans Pelicans",101,109,0,1
2023-12-16,"Golden State Warriors","Dallas Mavericks",129,122,1,0
2023-12-17,"Golden State Warriors","Los Angeles Lakers",111,113,0,1
2023-12-17,"Golden State Warriors","San Antonio Spurs",101,113,0,1
