Hours_Homework_Per_Week,GPA,Hours_Sleep_Per_Night,Grade_Level,Gender,Extracurricular
10.2,3.41,6.6,11,Male,Yes
17.4,3.41,5.6,10,Female,No
9.4,3.65,6.1,12,Female,Yes
10.9,3.01,8.1,9,Female,Yes
9.9,3.34,7.8,11,Male,Yes
6.5,2.84,5.5,12,Female,Yes
13.4,3.16,7.1,10,Male,Yes
12.3,2.93,8.1,9,Male,No
12.4,3.05,4.5,12,Female,No
7.3,3.3,7.8,9,Male,No
14.2,2.59,6.0,9,Female,No
5.8,4.0,7.9,9,Male,Yes
11.8,2.5,5.9,11,Male,No
16.6,2.39,4.3,11,Female,Yes
7.0,3.58,4.6,10,Female,Yes
8.3,3.4,7.1,10,Female,Yes
10.3,3.31,7.4,12,Female,Yes
8.5,3.31,5.6,10,Female,No
5.3,2.99,8.0,9,Female,No
10.2,2.55,4.5,9,Female,Yes
6.8,3.04,6.9,11,Male,Yes
11.4,2.66,5.2,9,Female,No
7.2,3.49,6.0,12,Male,Yes
14.6,2.93,7.1,9,Other,Yes
7.7,2.59,5.7,9,Female,Yes
9.0,2.84,6.4,12,Male,No
12.4,3.21,8.5,10,Female,No
6.3,2.72,6.1,10,Female,Yes
10.7,2.59,8.3,12,Male,Yes
13.9,3.12,5.3,11,Female,No
5.2,3.12,7.8,9,Female,No
10.6,2.75,9.2,12,Male,Yes
10.8,2.76,3.3,9,Female,No
12.3,3.12,5.8,11,Male,Yes
6.3,2.28,7.9,9,Female,Yes
6.0,2.3,6.7,12,Other,No
11.6,2.64,7.6,9,Female,Yes
10.9,2.89,6.1,10,Male,Yes
10.8,3.16,7.1,11,Female,Yes
11.0,3.74,6.8,11,Female,Yes
8.0,3.43,8.8,11,Male,No
10.7,2.92,7.4,12,Female,Yes
10.9,2.99,7.5,11,Male,No
7.9,2.5,6.4,10,Female,Yes
15.6,2.99,6.3,12,Male,Yes
11.4,2.86,6.4,10,Male,Yes
6.4,3.16,7.6,9,Male,No
12.0,2.59,6.4,9,Female,Yes
7.1,3.26,7.4,9,Male,No
12.4,3.77,10.0,9,Female,Yes
13.5,2.95,8.3,10,Male,No
7.5,3.2,6.5,12,Male,Yes
12.9,3.35,8.8,12,Female,No
11.2,2.8,6.4,11,Female,No
12.5,3.11,3.9,10,Male,No
15.7,3.01,5.5,9,Female,No
9.3,3.05,4.2,10,Female,No
7.7,2.61,6.5,11,Female,Yes
7.3,3.01,7.0,11,Male,Yes
7.6,3.25,9.5,10,Male,Yes
9.8,3.73,7.5,10,Female,No
11.0,3.48,6.7,10,Male,Yes
10.8,4.0,8.2,12,Female,No
12.5,2.62,3.7,9,Female,Yes
10.0,3.44,7.4,10,Female,Yes
14.4,3.09,8.2,10,Female,Yes
9.2,4.0,4.8,10,Other,No
18.2,2.6,8.7,11,Male,Yes
11.9,2.58,7.5,11,Female,Yes
7.4,2.7,6.4,12,Male,Yes
6.8,1.94,7.9,9,Male,Yes
11.4,2.74,10.0,12,Female,Yes
9.3,2.62,7.3,9,Female,Yes
12.1,3.08,7.4,11,Other,No
11.4,3.17,6.3,11,Female,Yes
9.8,3.94,5.7,11,Male,Yes
7.5,3.48,8.2,12,Male,Yes
5.5,2.71,5.7,10,Female,Yes
8.7,2.55,7.1,10,Male,Yes
12.6,3.25,6.3,11,Male,Yes
10.6,2.34,7.7,10,Male,Yes
6.3,3.92,7.5,10,Male,Yes
10.5,3.59,8.6,12,Male,No
11.2,2.77,6.2,9,Male,No
7.3,2.14,6.6,11,Male,No
10.5,3.68,5.5,11,Male,Yes
10.2,2.94,6.3,12,Other,Yes
6.6,3.62,7.6,12,Male,Yes
